"Shipping Quote Product Page","Calculo de Frete na Pág. do Produto"
"Generated in directory [ROOT_MAGENTO]/var/log/","Gerado no diretório [ROOT_MAGENTO]/var/log/"
"General","Geral"
"Show Country","Exibir país"
"Show Region","Exibir estado"
"Show City","Exibir cidade"
"Show City","Exibir cidade"
"Alert to select","Alerta de seleção"
"Shipping Quote","Calcular"
"Waiting...","Aguarde, pesquisando..."
"Label Search Buttom","Titulo do Botão Procurar"
"Label Searching Buttom","Titulo do Botão Procurando"
"Remember a customer to select product options.","Lembrar o cliente de selecionar as opções do produto."
"Select product options","Selecione as opções do produto"
"Estimate Shipping and Tax","Calcule o Frete"
"Zip/Postal Code","CEP"
"City","Cidade"
"Country","Pais"
"State/Province","Estado"
"Open in PopUP","Abrir em PopUP"
"settings","configurações"
"is a necessary field for calculating freight in some countries","é um campo necessário para calculo de frete em alguns paises"
"Select product options","Selecione as opções do produto"
"Shipping Quote","Buscar cep"
"Waiting...","Carregando..."
"Label Zip code error","Label cep errado"
"Label title","Titulo"
"Label link","Texto link"
