"Settings","Configurações"
"Environment Type", "Ambiente"
"Clearsale User Name", "Usuário Clearsale"
"Clearsale User Password", "Senha Clearsale"
"Attribute for CPF/CNPJ", "Atributo para CPF/CNPJ"
"Debug Api requests?", "Log das comunicações com API?"
"Address Mapping", "Mapeamento de endereço"
"Attribute for Street", "Atributo de rua"
"Attribute for Street Number", "Atributo de número"
"Attribute for Neighborhood", "Atributo de bairro"
"Attribute for Complement", "Atributo de complemento"
"Payment Mapping", "Mapeamento de pagamento"
"Credit Card Map", "Métodos de cartão de crédito"
"Debit Card Map", "Métodos de cartão de débito"
"Paypal Map", "Métodos de PayPal"
"Bank Transfer Map", "Métodos de transferência bancária"
"Ticket Map", "Métodos de boleto",
"Deposit Map", "Métodos de depósito"
"Production", "Produção"
"Homolog", "Homologação"
"Yes", "Sim"
"No", "Não"
"Customer Group (VAT ID)","Grupos de clientes que usam VAT ID"
"Active VAT ID by customer group","Ativar VAT ID por grupo de clientes"
"Clearsale environment where orders will be shipped.<br>Select 'Production' to send actual orders placed in your store.","Ambiente da Clearsale para onde os pedidos serão enviados.<br>Selecione 'Produção' para o envio de pedidos reais realizados em sua loja."
"In this field you will be asked to enter the store integration username provided by Clearsale.","Nesse campo você deverá inserir o nome de usuário de integração da loja fornecido pela Clearsale."
"In this field you must enter the integration password provided by Clearsale.","Nesse campo você deverá inserir a senha de integração fornecida pela Clearsale."
"Field to map which Magento attribute is used to inform the customer's VAT ID.<br> Enable this setting if the store allows Guest Checkout.","Campo para mapear qual atributo é utilizado para informar o CPF/CNPJ do cliente.<br> Ative essa configuração se a loja permite compra por visitante."
"We recommend selecting all groups above.","Recomendamos selecionar todos os grupos acima."
"Area to map which means of payment in the store correspond to their respective type.","Área para mapear quais meios de pagamento da loja correspondem com o seu devido tipo."
