"Postcode not informed","Código postal não informado"
"Amount reported is invalid","Quantidade informada é inválida"
"There is no shipping method available at this time.","Não há método de envio disponível neste momento."
"Estimate Shipping Rate","Calcular Frete e Prazo de Entrega"
Postcode,CEP
"Type your Postcode (just numbers)","Digite seu CEP(apenas números)"
"Estimate shipping","Calcular"
"I do not know the postcode","Não sei o código postal"
Landofcoder,Landofcoder
"Estimate Shipping Rate for Product","Estimar taxa de envio para o produto"
"General Configuration","Configuração geral"
"Module Enable","Módulo habilitado"
