"Item in Cart","Item(s) do Pedido"
"Sorry, no quotes are available for this order at this time","Digite o CEP para calcular o frete."
"Do you have any comments?","Você tem algum comentário?"
"Enter comment","Insira o comentário"
"Place Order","Finalizar Pedido"
"You already have an account with us. Log in or continue as a guest.","Você já tem uma conta conosco. Efetue Login ou continue como convidado."
"To create an account, enter the password or leave the field blank to end as a guest.","Para criar uma conta insira a senha ou deixe o campo em branco para finalizar como visitante."
"Type Layout","Layout"
"Optimized Fields","Campos Otimizados"
"Simple Header","Topo Simplificado"
"Simple Footer","Ocultar Rodapé"
"Custom CSS","CSS Personalizado"
"Custom JS","JS Personalizado"
